diagnosis_id	synonym	language
585064432	disorder of female genital organs	en
585064432	disorder of female genital system	en
585064432	disorder of female genital tract	en
585064432	gynaecological disease	en
585064432	gynaecological disorder	en
585064432	unspecified disorder of female genital organs	en
1980229240	angiectasis NOS	en
1932345217	urinary tract disease NOS	en
1834648119	bacterial fish poisoning	en
1834648119	bacterial ichthyotoxism	en
1834648119	bacterial mussels poisoning	en
1834648119	bacterial seafood poisoning	en
1834648119	bacterial shellfish poisoning	en
1834648119	epidemic bacterial fish poisoning	en
1834648119	food contamination	en
1834648119	food infection	en
1688127370	GE - [gastroenteritis]	en
1688127370	Gastroenteritis or colitis of infectious origin without mention of infectious agent	en
1688127370	Infectious neonatal diarrhoea NOS	en
1688127370	acute bloody diarrhoea	en
1688127370	acute enteritis	en
1688127370	acute gastroenteritis	en
1688127370	acute haemorrhagic diarrhoea	en
1688127370	acute haemorrhagic enteritis	en
1688127370	acute watery diarrhoea	en
1688127370	bowel infection	en
1688127370	catarrhal dysentery	en
1688127370	diarrhoea and gastroenteritis of presumed infectious origin	en
1688127370	diarrhoeal disease	en
1688127370	diarrhoeal disorder	en
1688127370	diarrhoeal enteritis	en
1688127370	dysenteric diarrhoea	en
1688127370	dysentery	en
1688127370	dysentery NOS	en
1688127370	enteric infection	en
1688127370	enteric or intestinal catarrh	en
1688127370	enteritis NOS	en
1688127370	enteritis of small intestine	en
1688127370	enteritis septic	en
1688127370	enterocolitis	en
1688127370	epidemic diarrhoea	en
1688127370	epidemic enteritis	en
1688127370	gangrenous enteritis	en
1688127370	gastric flu	en
1688127370	gastroenteritis septic	en
1688127370	gastroenteropathy	en
1688127370	gastrointestinal infection	en
1688127370	haemorrhagic dysentery	en
1688127370	haemorrhagic enteritis	en
1688127370	haemorrhagic gastroenteritis	en
1688127370	infant diarrhoea	en
1688127370	infected colitis	en
1688127370	infected enteritis	en
1688127370	infection gastroenteritis	en
1688127370	infectious diarrhoea NOS	en
1688127370	infectious diarrhoeal disease	en
1688127370	infectious diarrhoeal disease NOS	en
1688127370	infectious disease of digestive tract	en
1688127370	infectious disease of intestine	en
1688127370	infectious gastroenteritis NOS	en
1688127370	infective diarrhoea	en
1688127370	inflammation of small intestine	en
1688127370	inflammation of small intestine and colon	en
1688127370	inflammatory diarrhoea	en
1688127370	intestinal infection	en
1688127370	intestinal infections without specification of infectious agent	en
1688127370	intestinal parasitic disease	en
1688127370	intestinal parasitism	en
1688127370	intestine infection	en
135352227	Bacterial enteritis NOS	en
185569509	embolism NOS	en
