ancestor_id	descendant_id	depth
826670225	514060398	2
826670225	651060271	2
826670225	991038559	2
826670225	1008738827	2
826670225	340125518	2
826670225	779108417	2
826670225	641633356	2
826670225	339171403	2
826670225	912874346	2
826670225	769046524	2
826670225	534733821	2
826670225	33192468	2
529911121	529911121	0
1941509730	1941509730	0
409533907	409533907	0
686787865	686787865	0
603362724	603362724	0
265522474	265522474	0
265522474	1901439408	1
265522474	2057584615	1
265522474	785907095	1
265522474	436860238	1
265522474	98391064	2
265522474	224219359	2
1527322574/other	1527322574/other	0
1722024459/other	1722024459/other	0
1018829714/other	1018829714/other	0
2142496269	2142496269	0
1195443396	1195443396	0
449241496	449241496	0
449241496	1719064637	1
449241496	1005634086	1
449241496	859173518	2
449241496	1813142333	2
449241496	1942420073	2
1031562091	1031562091	0
487269828/other	487269828/other	0
1710134530	1710134530	0
631826564	631826564	0
1299705786	1299705786	0
1299705786	1878277597	1
1299705786	1951125837	1
1299705786	1455948584	2
1299705786	993158012	3
422012968	422012968	0
422012968	1832803655	1
422012968	1239713511	1
422012968	542239706	1
1426889593	1426889593	0
1269376888	1269376888	0
1269376888	1797787392	1
1269376888	815494045	1
1269376888	243093973	1
899430929	899430929	0
899430929	1956952654	1
899430929	1074835250	1
899430929	1047433107	1
98846319	98846319	0
98846319	164250123	1
98846319	762011289	1
2031646451	2031646451	0
2031646451	1802014167	1
2031646451	237191235	1
2031646451	921630501	1
2031646451	2056130748	1
2031646451	1193624550	2
2031646451	1814777534	2
2031646451	1873702831	2
2031646451	1000854142	2
2031646451	442919799	3
2031646451	1422384627	3
2031646451	674294031	3
2031646451	389356692	3
2031646451	689769199	3
2031646451	858559763	3
2031646451	393265603	3
2031646451	475897217	3
2031646451	318893443	3
2031646451	1897578229	3
2031646451	35936110	3
2031646451	663999084	3
2031646451	1728827525	3
2031646451	849469018	3
2031646451	339006742	4
2031646451	1569090942	4
2031646451	216674991	4
2031646451	1504036064	4
2031646451	1467908456	4
2031646451	559422320	4
2031646451	742864101	4
2031646451	1266185897	4
2031646451	1492905209	4
2031646451	1480021639	4
532329261	532329261	0
807745063	807745063	0
2069589860	2069589860	0
1399922560	1399922560	0
1617529678	1617529678	0
2064760868	2064760868	0
2064760868	517092878	1
2064760868	254445041	1
2064760868	535678210	1
2064760868	1620371681	1
2064760868	2064760868/other	1
2064760868	2064760868/unspecified	1
2064760868	852569698	2
2064760868	218940177	2
2064760868	230993897	2
2064760868	1318309907	2
2064760868	1502261354	2
2064760868	2082294403	2
2064760868	1626851331	3
2064760868	67204911	3
2064760868	2032397896	3
2064760868	1118966383	3
2064760868	1187422612	3
2064760868	1683934843	3
2064760868	1206429732	3
2064760868	391055063	3
2064760868	156260003	3
2064760868	220074392	3
2064760868	1902926622	4
1800264981	1800264981	0
1800264981	310697776	1
1800264981	1713999823	1
1800264981	2010059430	1
1800264981	1347079902	2
1800264981	1260648884	2
420429663	420429663	0
997495134	997495134	0
1301615605	1301615605	0
220699766/unspecified	220699766/unspecified	0
2017776552	2017776552	0
804357902	804357902	0
586573592	586573592	0
584727666	584727666	0
584727666	642754952	1
584727666	744239430	1
584727666	413764544	1
584727666	2013544811	1
584727666	2026437397	1
1558472409	1558472409	0
1558472409	1331153783	1
1558472409	1868694325	1
1558472409	287056790	1
676439688	676439688	0
1296093776/unspecified	1296093776/unspecified	0
289744228	289744228	0
425342654	425342654	0
1425921467	1425921467	0
1425921467	396516864	1
1425921467	770000396	1
1425921467	45264155	1
1425921467	1425921467/unspecified	1
1425921467	75033970	2
1425921467	1615114311	2
1425921467	1968456540	2
339662111/other	339662111/other	0
905417732	905417732	0
396906584	396906584	0
1554676763	1554676763	0
1446936878	1446936878	0
129937701	129937701	0
1754559132	1754559132	0
1290245394	1290245394	0
1970643222	1970643222	0
1100765087	1100765087	0
1100765087	1919681193	1
1100765087	1564207544	1
1376251627	1376251627	0
496474610	496474610	0
1999215191	1999215191	0
1999215191	591033664	1
1999215191	1753991091	1
1999215191	1708699728	1
726138038	726138038	0
1608268244	1608268244	0
1517885800	1517885800	0
1517885800	491123507	1
1517885800	991140339	1
1517885800	1410362797	1
1517885800	329546480	1
1517885800	925440127	1
1517885800	1050128410	1
1517885800	168362132	1
1517885800	1425380669	1
1517885800	894425588	1
1517885800	1995421542	1
1517885800	357782362	1
1517885800	73721637	1
1517885800	1422662383	1
1517885800	286779656	1
1517885800	480150735	1
1517885800	514920223	1
1517885800	133673893	1
1517885800	435342452	1
1517885800	706054718	1
1517885800	515977598	1
1517885800	2092499426	1
1517885800	2072706284	1
1517885800	1153296343	1
1517885800	952576129	1
1517885800	1569514773	1
1517885800	439233336	1
1517885800	1381875066	1
1517885800	135549215	1
1517885800	2080031371	1
1517885800	1366882206	1
1517885800	2064197173	1
1517885800	419506380	1
1517885800	1726732000	1
1517885800	1517885800/other	1
1517885800	865604527	1
1517885800	1231437224	1
1517885800	1501947632	1
1517885800	1839366214	1
1517885800	1517885800/unspecified	1
1517885800	762714297	2
1517885800	1175680704	2
1517885800	1927722434	2
1517885800	1794095968	2
1517885800	611872137	2
1517885800	228993131	2
1517885800	657917355	2
1517885800	368223524	2
1517885800	1312261229	2
1517885800	514920223/other	2
1517885800	514920223/unspecified	2
1517885800	708602629	2
1517885800	1446778854	2
1517885800	729565689	2
1517885800	960530623	2
1517885800	1450338595	2
1517885800	1581032752	2
1517885800	1307433024	2
1517885800	1252924203	2
1517885800	1544242475	2
1517885800	435342452/other	2
1517885800	1716182078	2
1517885800	435342452/unspecified	2
1517885800	803591871	2
1517885800	681973206	2
1517885800	1040403412	2
1517885800	1150258919	2
1517885800	1445922000	2
1517885800	2017611840	2
1517885800	2092499426/unspecified	2
1517885800	632832064	2
1517885800	323500367	2
1517885800	2092499426/other	2
1517885800	234085898	2
1517885800	635934326	2
1517885800	1787416388	2
1517885800	122696113	2
1517885800	1026716561	2
1517885800	1755417368	2
1517885800	2140748889	2
1517885800	1952154349	2
1517885800	1129841333	2
1517885800	39910258	2
1517885800	1287733994	2
1517885800	1407701809	2
1517885800	1543028500	2
1517885800	768714953	2
1517885800	1384219098	2
1517885800	1108993080	2
1517885800	135549215/unspecified	2
1517885800	135549215/other	2
1517885800	624648964	2
1517885800	1331250723	2
1517885800	1392131952	2
1517885800	2080031371/unspecified	2
1517885800	2047696084	2
1517885800	2080031371/other	2
1517885800	1796074797	2
1517885800	1208622375	2
1517885800	1097319579	2
1517885800	2068997012	2
1517885800	855744861	2
1517885800	1916700472	2
1517885800	37133203	2
1517885800	900299738	2
1517885800	362161517	2
1517885800	507702177	2
1517885800	2064197173/unspecified	2
1517885800	393562786	2
1517885800	74496006	2
1517885800	2006854546	2
1517885800	1719187193	2
1517885800	2064197173/other	2
1517885800	1893591289	2
1517885800	2119855663	2
1517885800	588725109	2
1517885800	316007944	2
1517885800	53705581	2
1517885800	1457254664	2
1517885800	865090706	2
1517885800	1195207789	2
1517885800	428193334	2
1517885800	578200057	2
1517885800	773232456	2
1517885800	1100083794	2
1517885800	1662132277	2
1517885800	419506380/unspecified	2
1517885800	419506380/other	2
1517885800	1834982539	3
1517885800	1989292360	3
1517885800	699767035	3
1517885800	219436136	3
1517885800	149507540	3
1517885800	2115435683	3
1517885800	2133197770	3
1517885800	1656486805	3
1517885800	1336749698	3
1517885800	462046948	3
1517885800	1607538952	3
1517885800	1545492067	3
1517885800	2041260937	3
1517885800	544922775	3
1517885800	1531479618	3
1517885800	1360335041	3
1517885800	2017611840/unspecified	3
1517885800	428071867	3
1517885800	2017611840/other	3
1517885800	582233757	3
1517885800	1753713002	3
1517885800	632832064/unspecified	3
1517885800	1642989368	3
1517885800	1743067451	3
1517885800	380352762	3
1517885800	1199186127	3
1517885800	1736124057	3
1517885800	1307765114	3
1517885800	114764265	3
1517885800	1120661005	3
1517885800	1873836819	3
1517885800	1428593972	3
1517885800	846542053	3
1517885800	1015098612	3
1517885800	393562786/other	3
1517885800	393562786/unspecified	3
1517885800	1530032727	3
1517885800	131525682	3
1517885800	1755529993	3
1517885800	1485522413	4
1517885800	1393255363	4
1517885800	1717643054	4
1517885800	375454184	4
1517885800	696357118	4
1517885800	646504628	5
1517885800	557357448	5
1517885800	1689153016	5
1517885800	836869049	5
1517885800	903846831	5
1517885800	1320998432	5
693631704	693631704	0
1076507925	1076507925	0
1267639327	1267639327	0
2004515128	2004515128	0
41692353	41692353	0
41692353	1599486202	1
41692353	1619776905	1
41692353	1123604918	2
41692353	434866040	2
17827485/other	17827485/other	0
370349933	370349933	0
370349933	895420229	1
370349933	1188200871	1
370349933	1097005205	1
370349933	1011901523	1
53257270	53257270	0
1506184775/unspecified	1506184775/unspecified	0
2139726715	2139726715	0
2003493658	2003493658	0
2099186145/unspecified	2099186145/unspecified	0
121795048	121795048	0
2102590721	2102590721	0
23958598/unspecified	23958598/unspecified	0
1427621287	1427621287	0
244762378	244762378	0
390748186	390748186	0
390748186	462068148	1
390748186	582395719	1
885464741	885464741	0
885464741	940445061	1
885464741	157129189	1
873389806	873389806	0
1466011645	1466011645	0
1364474053	1364474053	0
1364474053	1772312649	1
1364474053	2111612055	1
1364474053	1169240278	1
1364474053	1878745129	1
1364474053	1621041627	1
1364474053	1814304618	1
1526280683	1526280683	0
1894811648	1894811648	0
254592445	254592445	0
958815263	958815263	0
741009038	741009038	0
284410555/unspecified	284410555/unspecified	0
2055720774/unspecified	2055720774/unspecified	0
59436623	59436623	0
59436623	295812158	1
59436623	1649356714	1
59436623	1940501185	1
59436623	2100179991	1
59436623	617260891	1
59436623	117760576	1
59436623	59436623/other	1
59436623	383942485	1
59436623	59436623/unspecified	1
59436623	1789935745	2
59436623	933203817	2
1462194012/unspecified	1462194012/unspecified	0
1624343310/other	1624343310/other	0
196671753	196671753	0
368439751	368439751	0
577112387	577112387	0
577112387	577112387/unspecified	1
577112387	577112387/other	1
577112387	1494773635	1
577112387	1308452752	1
577112387	381273009	2
577112387	2090446456	2
577112387	1646349940	2
577112387	1628032239	2
577112387	1684553772	2
1869497004	1869497004	0
1414052394	1414052394	0
1340308055/unspecified	1340308055/unspecified	0
244940053	244940053	0
1730644960	1730644960	0
1730644960	63858592	1
1730644960	359348642	1
1730644960	58868923	1
1730644960	1345255366	1
1730644960	1820169460	1
1730644960	1866592137	1
1730644960	1730644960/other	1
1730644960	1730644960/unspecified	1
1730644960	593414996	2
1730644960	875916171	2
1730644960	1367254559	2
1730644960	1400623279	2
1730644960	1923918627	2
1730644960	1770509481	2
1730644960	1577503643	2
1730644960	1802542189	2
1730644960	1987479592	2
1730644960	1610162377	2
1730644960	63858592/other	2
1730644960	63858592/unspecified	2
1730644960	1729725109	2
1730644960	1697880826	2
1730644960	85036106	2
1730644960	330617420	2
1730644960	377921406	2
1730644960	38948641	2
1730644960	1475024537	2
1730644960	1969800446	2
1730644960	1549762693	2
1730644960	1640393055	2
1730644960	359348642/unspecified	2
1730644960	359348642/other	2
1730644960	1996431326	2
1730644960	76391627	2
1730644960	394034346	2
1730644960	2083889999	2
1730644960	1719029386	2
1730644960	1152494544	2
1730644960	788742861	2
1730644960	58868923/other	2
1730644960	58868923/unspecified	2
1730644960	1675834480	2
1730644960	807634751	2
1730644960	822972047	2
1730644960	1584778394	2
1730644960	1820169460/unspecified	2
1730644960	1820169460/other	2
1730644960	1091217288	2
1730644960	1538134578	2
1730644960	2080037304	2
1730644960	168436253	2
1730644960	2002990943	2
1730644960	2071163549	2
1730644960	1866592137/unspecified	2
1730644960	304675531	2
1730644960	1866592137/other	2
1730644960	1914474454	2
1730644960	329611650	3
1730644960	1277537049	3
1730644960	875916171/unspecified	3
1730644960	227737556	3
1730644960	1129345979	3
1730644960	875916171/other	3
1730644960	121663889	3
1730644960	1271869287	3
1730644960	1224666577	3
1730644960	755638638	3
1730644960	1493589550	3
1730644960	1354590505	3
1730644960	605374423	3
1730644960	253501989	3
1730644960	909280105	3
1730644960	302246011	3
1730644960	1367254559/other	3
1730644960	1367254559/unspecified	3
1730644960	1981093217	3
1730644960	129611612	3
1730644960	674530731	3
1730644960	1632163142	3
1730644960	1854398699	3
1730644960	1655054999	3
1730644960	199687546	3
1730644960	974340373	3
1730644960	852668340	3
1730644960	1356505419	3
1730644960	1469669922	3
1730644960	1182793547	3
1730644960	590623455	3
1730644960	611840438	3
1730644960	1094466592	3
1730644960	898723039	3
1730644960	1048832316	3
1730644960	525636274	3
1730644960	1495196920	3
1730644960	453835806	3
1730644960	1536491255	3
1730644960	880852176	3
1730644960	290316556	3
1730644960	553716853	3
1730644960	1368280339	3
1730644960	1299613074	3
1730644960	617667355	3
1730644960	1335192255	3
1730644960	1421743413	3
1730644960	1802542189/unspecified	3
1730644960	1784166269	3
1730644960	445729059	3
1730644960	1802542189/other	3
1730644960	1549857781	3
1730644960	684565258	3
1730644960	1300655776	3
1730644960	959135329	3
1730644960	1304447252	3
1730644960	1752476884	3
1730644960	1835603770	3
1730644960	2011047802	3
1730644960	249059775	3
1730644960	64654964	3
1730644960	1697880826/other	3
1730644960	1231916211	3
1730644960	645516940	3
1730644960	1697880826/unspecified	3
1730644960	695436789	3
1730644960	379313479	3
1730644960	1758806928	3
1730644960	1985227848	3
1730644960	375904591	3
1730644960	1737044882	3
1730644960	916923553	3
1730644960	268127248	3
1730644960	539748746	3
1730644960	49912771	3
1730644960	128890118	3
1730644960	113718686	3
1730644960	448405307	3
1730644960	256645835	3
1730644960	514492322	3
1730644960	1125498756	3
1730644960	1640393055/other	3
1730644960	305361524	3
1730644960	1882946699	3
1730644960	1721639563	3
1730644960	1637248481	3
1730644960	2004402146	3
1730644960	1847832919	3
1730644960	353312397	3
1730644960	388160241	3
1730644960	1640393055/unspecified	3
1730644960	1443187871	3
1730644960	330038994	3
1730644960	1738049106	3
1730644960	1487557398	3
1730644960	126387972	3
1730644960	76391627/unspecified	3
1730644960	1379673909	3
1730644960	1803581281	3
1730644960	856434604	3
1730644960	1520898559	3
1730644960	1692167541	3
1730644960	473639263	3
1730644960	862765648	3
1730644960	177999927	3
1730644960	224318510	3
1730644960	886881148	3
1730644960	1196874419	3
1730644960	1719029386/other	3
1730644960	1719029386/unspecified	3
1730644960	214143032	3
1730644960	628467887	3
1730644960	995144006	3
1730644960	1881207860	3
1730644960	1584778394/unspecified	3
1730644960	1567256935	3
1730644960	780460787	3
1730644960	1837670870	3
1730644960	1063419800	3
1730644960	1584778394/other	3
1730644960	1691058302	3
1730644960	1284303884	3
1730644960	941735155	3
1730644960	742508630	3
1730644960	1411011731	3
1730644960	1989773046	3
1730644960	2016844157	3
1730644960	1831234152	3
1730644960	327001486	3
1730644960	831377479	3
1730644960	1091217288/other	3
1730644960	1091217288/unspecified	3
1730644960	418660830	3
1730644960	2126843932	3
1730644960	1124144144	3
1730644960	1389094589	3
1730644960	403896648	3
1730644960	119775362	3
1730644960	1790389383	3
1730644960	635265776	3
1730644960	1322593638	3
1730644960	1207560843	3
1730644960	454165066	3
1730644960	1099921051	3
1730644960	1896398871	3
1730644960	634236882	3
1730644960	1538134578/unspecified	3
1730644960	1538134578/other	3
1730644960	1894339475	3
1730644960	1905647615	3
1730644960	300879915	3
1730644960	2051913233	3
1730644960	534008644	3
1730644960	1891358287	3
1730644960	1468523039	3
1730644960	1848636316	3
1730644960	1879763573	3
1730644960	1107508852	3
1730644960	511563165	3
1730644960	1568116015	3
1730644960	42278174	3
1730644960	1793371217	3
1730644960	1651615250	3
1730644960	1317449138	3
1730644960	168436253/other	3
1730644960	1838368265	3
1730644960	1471857996	3
1730644960	693044391	3
1730644960	854657246	3
1730644960	1180456993	3
1730644960	553765036	3
1730644960	378726870	3
1730644960	1092590410	3
1730644960	2002990943/other	3
1730644960	1964184259	3
1730644960	1358497313	3
1730644960	2072819930	3
1730644960	609507040	3
1730644960	900910005	3
1730644960	2002990943/unspecified	3
1730644960	1275186848	3
1730644960	950836831	3
1730644960	1116096630	3
1730644960	1575441355	3
1730644960	549002270	3
1730644960	304675531/other	3
1730644960	692716342	3
1730644960	304675531/unspecified	3
1730644960	387458278	4
1730644960	842039734	4
1730644960	1484793938	4
1730644960	881909739	4
1730644960	1065108992	4
1730644960	1151773078	4
1730644960	738864118	4
1730644960	861767556	4
1730644960	1361621661	4
1730644960	64352031	4
1730644960	1878070600	4
1730644960	1312954860	4
1730644960	9104732	4
1730644960	232818057	4
1730644960	842885372	4
1730644960	964312333	4
1730644960	567036007	4
1730644960	980657399	4
1730644960	418412180	4
1730644960	803014219	4
1730644960	745197078	4
1730644960	134795253	4
1730644960	936714888	4
