icd_11_id	name	icd_11_code
1394210280	Blood gas portable analysers	XD6EG0
280385798	General purpose electrocardiographs	XD4U38
1799393163	Oxygen Concentrators	XD6UU3
1524741217	Medical/medicinal gas systems and relative accessories	XD80Z7
1529373361	Infusion Pumps	XD8QY1
249742078	Examination / treatment gloves, nitrile	XD3ZH8
4953745	Iatrogenic	XB8D
459275392	Ageing-related	XT9T
56475710	Occupational relevance	
524818626	Familial	XB1Y
339929010	Community acquired	XB22
1888928982	Genetic	XB4S
655959100	Environmental	XB4Q
2104221497	Travel-related	XB7L
29997720	Life-style	XB5W
1036139204	Post traumatic	XB2G
1674014893	Nosocomial	XB25
1048408993	Congenital	XB8M
276868235	Aetiology not known after full investigation	XB3D
1208497819	Virus	XN3BH
1184377859	Fungi	XN8AY
1063008297	Other Pathogens	
992589232	Main condition	XY0Y
674202049	Parasites	XN9S1
805727876	Delivered, with mention of postpartum condition	XY8Q
560892778	Initial reason for encounter or admission	XY6E
976029909	Low molecular weight haptens	
990378205	Female	XX2V25
148971835	Low molecular weight photohaptens	
554008934	Diagnosis confirmed by serology	XY0E
1497482390	High molecular weight allergens	
16562053	Biological sex not specified	XX2PX3
175182057	Intersex	XX45B7
162315363	Diagnosis confirmed by microscopy	XY19
646401219	Diagnosis confirmed by culture	XY0K
586375942	Initial encounter	XY18
679396458	Subsequent encounter	XY8S
76026680	Antepartum condition or complication	XY8U
812018134	Intensive care ventilators	XD3SM4
894194405	Idiopathic	XB5F
83217129	Bacteria	XN74M
1313934541	Delivered with or without mention of antepartum condition	XY3K
2125257289	Main resource condition	XY7B
1443137468	Intraoperative	XY9N
182265087	Postoperative	XY7V
618058108	Postpartum condition or complication	XY9P
288778990	Diagnosis confirmed by histology	XY9Q
1130201474	Preoperative	XY9U
1421018391	Diagnosis confirmed by genetics	XY8K
534456613	Agents primarily affecting the cardiovascular system	XM3973
1756699061	Agents affecting genitourinary system, sex or anabolic hormones	XM3KY1
373236638	Agents primarily affecting blood constituents or immune system	XM6WT8
16341703	Agents primarily affecting the gastrointestinal system	XM3MU3
2043582775	Antipsychotics [neuroleptics]	XM0HK5
648146092	Antivertigo and motion sickness preparations	XM8014
1853123588	Agents primarily affecting water and nutrition-balance or metabolism	XM4TG8
