from_diagnosis_id	to_diagnosis_id	relationship_type	is_required	allow_multiple
508032285	1691058302	hasManifestation	False	True
508032285	654702340	hasManifestation	False	True
508032285	282225286/other	hasManifestation	False	True
508032285	590084641	hasManifestation	False	True
508032285	1845007284	hasManifestation	False	True
508032285	860785256	hasManifestation	False	True
508032285	867449270	hasManifestation	False	True
508032285	1460844182	hasManifestation	False	True
1839818377	236924369	associatedWith	False	True
1839818377	771273482	associatedWith	False	True
1839818377	1508081745	associatedWith	False	True
771273482	579583286	associatedWith	False	True
771273482	1203794080	associatedWith	False	True
771273482	862789727	associatedWith	False	True
771273482	1168452782	associatedWith	False	True
771273482	1260563068	associatedWith	False	True
1664016479	1656157931	hasManifestation	False	True
1664016479	373833091	hasManifestation	False	True
1664016479	831696556	hasManifestation	False	True
1664016479	63567539	hasManifestation	False	True
1664016479	2051676830	hasManifestation	False	True
1664016479	162683166	hasManifestation	False	True
1664016479	654702340	hasManifestation	False	True
1664016479	554373034	hasManifestation	False	True
6555116	168432503	hasManifestation	False	True
6555116	684930313	hasManifestation	False	True
6555116	1323682030	hasManifestation	False	True
6555116	486786563	hasManifestation	False	True
419706488	622600769	hasManifestation	False	True
419706488	1683090852	hasManifestation	False	True
419706488	132422185/other	hasManifestation	False	True
419706488	162683166	hasManifestation	False	True
520429137	622600769	hasManifestation	False	True
520429137	1683090852	hasManifestation	False	True
456774323	1296093776	hasManifestation	False	True
456774323	426429380	hasManifestation	False	True
456774323	197934298	hasManifestation	False	True
617741002	384289569	hasManifestation	False	True
617741002	1719545571	hasManifestation	False	True
617741002	724748131	hasManifestation	False	True
617741002	1397288146	hasManifestation	False	True
617741002	28995849	hasManifestation	False	True
617741002	843843448	hasManifestation	False	True
617741002	2021326314	hasManifestation	False	True
617741002	1861279867	hasManifestation	False	True
617741002	1730644960	hasManifestation	False	True
617741002	1297080916	hasManifestation	False	True
617741002	76906748	hasManifestation	False	True
617741002	1119245712	hasManifestation	False	True
617741002	23958598	hasManifestation	False	True
617741002	1397803237	hasManifestation	False	True
617741002	1965146397	hasManifestation	False	True
617741002	81068077	hasManifestation	False	True
617741002	988657115	hasManifestation	False	True
617741002	1510094736	hasManifestation	False	True
617741002	1743839677	hasManifestation	False	True
617741002	1125774661	hasManifestation	False	True
617741002	1296093776/other	hasManifestation	False	True
617741002	1296093776/unspecified	hasManifestation	False	True
1600014919	1656157931	hasManifestation	False	True
1600014919	684930313	hasManifestation	False	True
1600014919	373833091	hasManifestation	False	True
1600014919	2004402146	hasManifestation	False	True
1600014919	1957823459	hasManifestation	False	True
1600014919	830703931	hasManifestation	False	True
1600014919	654702340	hasManifestation	False	True
1100625760	946652467	hasManifestation	False	True
1100625760	65880823	hasManifestation	False	True
1100625760	2000687626	hasManifestation	False	True
1100625760	503601360	hasManifestation	False	True
1100625760	696932440	hasManifestation	False	True
1100625760	551713432	hasManifestation	False	True
1100625760	1060046426	hasManifestation	False	True
1100625760	1266833063	hasManifestation	False	True
1100625760	566574133	hasManifestation	False	True
1100625760	1611601779	hasManifestation	False	True
1100625760	30317704	hasManifestation	False	True
1100625760	201567715	hasManifestation	False	True
1100625760	940938694	hasManifestation	False	True
1100625760	868865918/other	hasManifestation	False	True
1100625760	868865918/unspecified	hasManifestation	False	True
270343310	1296093776	hasManifestation	False	True
270343310	1473673350	hasManifestation	False	True
283428170	956664712	hasManifestation	False	True
283428170	1358604969	hasManifestation	False	True
283428170	1054675109	hasManifestation	False	True
283428170	293771399	hasManifestation	False	True
283428170	1328350091	hasManifestation	False	True
283428170	1079654421	hasManifestation	False	True
283428170	1079654421/other	hasManifestation	False	True
283428170	654702340	hasManifestation	False	True
283428170	1971756453	hasManifestation	False	True
283428170	1889351414	hasManifestation	False	True
283428170	142052508	hasManifestation	False	True
283428170	727572936	hasManifestation	False	True
283428170	82568660	hasManifestation	False	True
1689275505	1296093776	hasManifestation	False	True
1689275505	1473673350	hasManifestation	False	True
1689275505	30659757	hasManifestation	False	True
1968623900	1971756453	hasManifestation	False	True
1968623900	1582386590	hasManifestation	False	True
1968623900	915779102	hasManifestation	False	True
1968623900	1332995100	hasManifestation	False	True
1968623900	111658096	hasManifestation	False	True
1968623900	390439470	hasManifestation	False	True
1968623900	850824593	hasManifestation	False	True
1968623900	370028006	hasManifestation	False	True
1968623900	1654881561	hasManifestation	False	True
1968623900	760239795	hasManifestation	False	True
1968623900	761789312	hasManifestation	False	True
1968623900	197934298/unspecified	hasManifestation	False	True
753780243	956664712	hasManifestation	False	True
753780243	1358604969	hasManifestation	False	True
753780243	293771399	hasManifestation	False	True
753780243	1328350091	hasManifestation	False	True
753780243	1375895174	hasManifestation	False	True
753780243	1079654421	hasManifestation	False	True
753780243	1079654421/other	hasManifestation	False	True
753780243	654702340	hasManifestation	False	True
753780243	1971756453	hasManifestation	False	True
753780243	1889351414	hasManifestation	False	True
753780243	142052508	hasManifestation	False	True
753780243	727572936	hasManifestation	False	True
753780243	82568660	hasManifestation	False	True
1235618695	956664712	hasManifestation	False	True
1235618695	1358604969	hasManifestation	False	True
1235618695	293771399	hasManifestation	False	True
1235618695	1328350091	hasManifestation	False	True
1235618695	1079654421	hasManifestation	False	True
1235618695	654702340	hasManifestation	False	True
1235618695	1971756453	hasManifestation	False	True
1235618695	1889351414	hasManifestation	False	True
1235618695	142052508	hasManifestation	False	True
1235618695	727572936	hasManifestation	False	True
1235618695	82568660	hasManifestation	False	True
2055968951	622600769	hasManifestation	False	True
2055968951	1683090852	hasManifestation	False	True
1676389165	431392958	hasManifestation	False	True
1939815950/other	622600769	hasManifestation	False	True
1939815950/other	1683090852	hasManifestation	False	True
1091013360	956664712	hasManifestation	False	True
854137188	956664712	hasManifestation	False	True
1939815950/unspecified	622600769	hasManifestation	False	True
1939815950/unspecified	1683090852	hasManifestation	False	True
1288604967	956664712	hasManifestation	False	True
56575149	956664712	hasManifestation	False	True
157616931	2105678631	hasCausingCondition	True	True
157616931	1985490330	hasCausingCondition	True	True
1208294714	1461581580	hasManifestation	False	True
1208294714	1691058302	hasManifestation	False	True
1208294714	1957823459	hasManifestation	False	True
1208294714	654702340	hasManifestation	False	True
1208294714	595794259	hasManifestation	False	True
1208294714	396939646	hasManifestation	False	True
1208294714	1040032122	hasManifestation	False	True
1208294714	1480951888	hasManifestation	False	True
1208294714	1783829886	hasManifestation	False	True
1136802325/other	622600769	hasManifestation	False	True
1136802325/unspecified	622600769	hasManifestation	False	True
622600769	1458683894	associatedWith	False	True
622600769	74527684	associatedWith	False	True
622600769	370028006	associatedWith	False	True
622600769	508643963	associatedWith	False	True
622600769	761526554	associatedWith	False	True
622600769	588616678	hasCausingCondition	True	True
622600769	1904876434	hasCausingCondition	True	True
622600769	979278646	hasCausingCondition	True	True
622600769	1539889147	hasCausingCondition	True	True
622600769	1412960686	hasCausingCondition	True	True
622600769	1596449540	hasCausingCondition	True	True
622600769	1321303663	hasCausingCondition	True	True
622600769	516585689	hasCausingCondition	True	True
622600769	520429137	hasCausingCondition	True	True
622600769	1000704511	hasCausingCondition	True	True
622600769	1104303944	hasCausingCondition	True	True
622600769	684930313	hasCausingCondition	True	True
622600769	1959883044	hasCausingCondition	True	True
622600769	921595235	hasCausingCondition	True	True
622600769	1251496839	hasCausingCondition	True	True
622600769	237422666	hasCausingCondition	True	True
