parent_id	child_id
1256772020	1256772020/other
1256772020	696703416
1256772020	1256772020/unspecified
1256772020	2031646451
1256772020	851941810
1585949804	62637936
1585949804	121670633
1585949804	634116368
1585949804	1585949804/unspecified
1585949804	1585949804/other
1585949804	2108355318
1585949804	1483190070
1585949804	1126137419
1585949804	650157499
1585949804	392898612
1904876434	455894495
1904876434	1442394311
1904876434	251474152
1904876434	508325484
1904876434	1372745524
1904876434	1357024926
1904876434	609214049
1904876434	1115270371
1904876434	1904876434/unspecified
1904876434	1220564554
1904876434	616315615
1904876434	1665769364
1904876434	1904876434/other
1904876434	764124124
1904876434	278931580
1904876434	641342831
718687701	562274788
718687701	353229912
435227771	452386362
435227771	1633923486
435227771	1842013215
435227771	163532889
435227771	1121827324
435227771	252518591
435227771	1416283029
435227771	1489212950
435227771	2016483996
435227771	1236563202
435227771	152692065
435227771	159081656
435227771	1237810616
435227771	1642696561
435227771	383104340
435227771	805284915
435227771	375360441
435227771	592902578
435227771	609351978
435227771	435227771/unspecified
435227771	435227771/other
1412960686	2121996806
1412960686	644291175
1412960686	1209038539
1412960686	1991248382
1412960686	971176543
1412960686	337308923
1412960686	46117627
1412960686	1224052315
1412960686	751603744
1412960686	1655183845
1412960686	531258563
1412960686	2105325745
1412960686	2144774073
1412960686	1412960686/unspecified
1412960686	1622653958
1412960686	1264126483
1412960686	198024823
1412960686	480002572
1412960686	1412960686/other
1412960686	1100765087
1412960686	522973276
868865918	566574133
868865918	201567715
868865918	169153150
868865918	946652467
868865918	2000687626
868865918	65880823
868865918	1060046426
868865918	503601360
868865918	940938694
868865918	1266833063
868865918	696932440
868865918	1611601779
868865918	551713432
868865918	509746676
868865918	30317704
868865918	868865918/unspecified
868865918	868865918/other
1136802325	760139952
1136802325	637134348
1136802325	1208294714
1136802325	1017662917
1136802325	157616931
1136802325	555874229
1136802325	874478433
1136802325	637955226
1136802325	237422666
1136802325	752894216
1136802325	1375378681
1136802325	15893629
1136802325	1531050270
1136802325	432231457
1136802325	1364506357
1136802325	1136802325/unspecified
1136802325	1136802325/other
1136802325	60351219
1136802325	1063976543
231358748	2144513044
231358748	1114122847
231358748	861284911
1959883044	685093552
1959883044	56575149
1959883044	1959883044/unspecified
1959883044	1302232870
979278646	979278646/other
979278646	149072669
979278646	1839818377
979278646	2072728114
979278646	979278646/unspecified
850137482	851395624
850137482	185842968
850137482	558785723
850137482	850137482/other
850137482	1491356379
850137482	173320128
850137482	128104623
850137482	491063206
850137482	980862652
850137482	850137482/unspecified
850137482	73322695
850137482	2143219175
1539889147	392955595
1539889147	1854705998
1539889147	107294155
1539889147	177816611
1539889147	1719013999
1539889147	705971711
1539889147	1331660907
1539889147	1642172022
1539889147	871612151
1539889147	1112496869
1539889147	197614812
1539889147	1539889147/unspecified
1539889147	1539889147/other
1935092859	1026551291
1935092859	1935092859/unspecified
1935092859	751399056
1935092859	1596449540
1935092859	1233304838
1935092859	63835650
1935092859	980168338
1935092859	1563156715
1935092859	730510331
1935092859	2003001085
1935092859	1321303663
1935092859	304649065
985510409	1154736543
985510409	1469571641
985510409	985510409/unspecified
255141529	1439886552
255141529	1786908147
255141529	255141529/other
255141529	793136270
255141529	2117375177
255141529	817691561
255141529	659272400
255141529	255141529/unspecified
255141529	1569800946
1306203631	927970860
1306203631	287901798
1306203631	1858685964
1306203631	1800910986
1306203631	426167863
1306203631	911707612
1306203631	624443803
1306203631	1004987305
1306203631	1306203631/unspecified
1306203631	1008196289
1306203631	1319339568
1306203631	1024145243
1306203631	494951911
1306203631	680361950
1306203631	861066692
145723401	753780243
145723401	283428170
145723401	1235618695
1251496839	1020283662
1251496839	1251496839/other
1251496839	1167609105
1251496839	271833991
1251496839	1652368287
1251496839	1251496839/unspecified
1251496839	529255260
1251496839	694903163
1251496839	652944603
1251496839	1840423014
1251496839	1877776449
2021326314	1155282534
2021326314	1490265028
2021326314	2021326314/other
2021326314	1993728609
2021326314	2021326314/unspecified
2021326314	344973791
2021326314	889563712
2021326314	740682437
28995849	28995849/other
28995849	28995849/unspecified
28995849	1350703173
28995849	669367341
28995849	607078588
28995849	1099694795
28995849	296971178
28995849	1410019257
293771399	1683090852
293771399	622600769
843843448	1427441570
843843448	1442995018
843843448	1935481507
843843448	1990827977
843843448	854513238
843843448	581897143
843843448	805990521
843843448	1606819573
843843448	843843448/unspecified
843843448	982373217
843843448	1173205716
843843448	44004672
384289569	981681252
384289569	2024168133
384289569	2145753518
384289569	1231935480
384289569	1705355202
384289569	460883639
384289569	1894671574
384289569	645263329
384289569	384289569/unspecified
384289569	1011947109
384289569	384289569/other
487269828	1697630330
487269828	1793762788
487269828	2085616610
487269828	2064398473
487269828	1127435854
487269828	114886962
487269828	1938462328
487269828	262236278
487269828	1920227791
487269828	1664016479
487269828	419706488
487269828	1012026026
487269828	6555116
487269828	1966578342
487269828	390042715
487269828	1558583874
487269828	1124880611
487269828	181074102
487269828	1998718899
487269828	1981846
487269828	540889641
487269828	168432503
487269828	2129350166
487269828	840525023
487269828	698540116
487269828	508032285
487269828	1320736556
487269828	1318344221
487269828	1654112127
487269828	965498095
487269828	487269828/other
487269828	322633638
487269828	1600014919
487269828	1186214944
487269828	1807545167
487269828	1465035083
487269828	487269828/unspecified
487269828	520429137
1939815950	1326582778
1939815950	132287989
1939815950	2087283296
